,RA,DEC
136,67.20649,-47.146598
137,72.757228,-47.369772
138,75.246115,-46.262374
139,315.211333,-46.856189
140,315.098345,-47.448184
141,57.740359,-48.189731
142,67.24959299999999,-48.365212
143,315.553227,-47.678917
144,316.413927,-48.135307
145,316.82473,-46.903418
146,316.907236,-47.271531
147,325.99631,-47.677146
148,55.086434,-48.727807
149,55.278843,-50.917531
150,58.573974,-49.539525
151,57.966653,-50.533124
152,58.73789,-50.246524
153,66.39303,-49.994007
154,67.111001,-49.484787
155,69.023938,-49.453748
156,334.67288,-49.276891
157,35.933445,-51.616457
158,50.565972,-50.332015
159,55.076795,-51.283034
160,67.474085,-51.821945
161,43.191501,-54.030563
162,44.001257,-54.58093
163,54.17261,-54.967114
164,53.990241,-55.182307
165,54.161613,-54.161968
166,54.591217,-54.573256
167,54.78548,-54.588631
168,55.244353,-54.441083
169,54.94252,-54.592977
170,55.0933,-55.503846
171,57.07591,-54.049501
172,57.30973,-54.149325
173,56.837675,-54.232792
174,59.33242,-53.951141
175,59.093053,-53.960588
176,61.746611,-54.800447
177,63.227045,-54.100008
178,66.38191499999999,-55.36909
179,67.262586,-54.50945
180,67.592469,-54.385767
181,68.197561,-53.560556
182,68.838122,-54.554487
183,69.390782,-53.395475
184,70.227493,-54.535794
185,70.137063,-54.873415
186,72.659143,-54.478771
187,72.609196,-54.736896
188,55.77899,-54.906214
189,63.684788,-55.415857
190,67.417586,-54.512884
191,73.516791,-56.489343
192,47.109036,-56.131153
193,58.898183,-56.895758
194,59.706474,-56.996942
195,63.436364,-57.629012
196,66.877012,-56.064277
197,68.247266,-58.208445
198,72.80834899999999,-58.575633
199,341.063092,-57.837612
200,3.88308,-59.061992
201,63.632419,-58.912846
202,316.641207,-58.729039
203,319.179536,-59.006685
204,358.416654,-59.199152
205,68.75462399999999,-59.456346
206,73.773618,-62.940219
207,66.68829099999999,-62.678747
208,66.882918,-62.711776
209,66.64253,-63.255362
210,67.034303,-63.366692
211,68.863945,-63.609266
212,70.499492,-63.541005
213,44.516531,0.06027
214,43.931338,-0.165247
215,44.265187,-0.236332
216,43.946374,0.761926
217,43.977281,-0.600731
218,316.40527,-0.661599
219,316.758993,-0.780604
220,317.168452,0.094432
221,316.877144,0.063559
222,317.596403,0.130599
223,318.103181,-0.170348
224,318.466272,0.276166
225,318.675287,-0.072564
226,318.493422,-0.128263
227,318.771963,-0.192163
228,319.247023,0.150553
229,319.140161,0.062176
230,319.379421,0.540307
