,RA,DEC
507,31.157731,-46.228339
508,31.276208,-0.717533
509,31.615044,-46.62556
510,31.629255,-35.340452
511,31.806392,-47.241255
512,31.835587,-46.190272
513,31.84557,-1.271373
514,31.852481,-1.410276
515,32.003077,1.394459
516,32.097885,-46.134662
517,32.197041,-35.499577
518,32.310193,-30.205843
519,32.335492,-46.516818
520,32.394634,-1.362516
521,32.433219,-46.51963
522,32.592853,-35.573056
523,32.689743,-33.454912
524,32.724001,-1.36936
525,32.74475,-34.75094
526,32.786615,-1.485031
527,32.88566,-1.533456
528,33.062083,-32.1012
529,33.091549,-30.269738
530,33.27534,-1.167304
531,33.301774,-1.373755
532,33.429873,-31.381786
533,33.555437,-51.368069
534,33.611041,-51.755178
535,33.640161,-0.814387
536,34.020493,-51.19424
537,34.064285,-1.170628
538,34.428713,-35.290989
539,34.459788,-35.452855
540,34.533747,-31.451878
541,34.706747,-35.222293
542,34.924331,-51.703823
543,34.971259,-1.039498
544,34.975617,-35.405797
545,35.026601,-51.080386
546,35.198,-33.409224
547,35.209889,-52.050227
548,35.336271,-34.515061
549,35.487478,-51.456214
550,35.559595,-51.337949
551,35.565089,-35.279625
552,35.643181,-51.855159
553,35.657065,-51.703147
554,35.689316,-0.795367
555,35.933445,-51.616457
556,36.009771,-52.326199
557,36.073505,-35.536422
558,36.181203,-0.434703
559,36.192546,-0.928311
560,36.2916,-0.972024
561,36.325336,-0.386906
562,36.449453,-0.485996
563,36.482656,-0.801622
564,36.562097,-44.538316
565,36.573412,-1.418786
566,36.659969,-44.428158
567,36.667117,-43.949029
568,36.706524,-44.202269
569,36.712301,-44.425567
570,36.729659,-44.367554
571,36.741887,-44.474907
572,36.748824,-44.900404
573,36.821711,-38.7834
574,36.853332,-0.439513
575,36.940124,-44.055805
576,36.961098,-44.047001
577,37.016936,-1.455276
578,37.075817,-43.272183
579,37.166876,-35.082667
580,37.194748,-1.203271
581,37.244624,-0.757488
582,37.280258,-48.532261
583,37.302488,-38.546341
584,37.327919,-38.616166
585,37.381218,-44.735834
586,37.397028,-0.807322
587,37.441908,-38.46183
588,37.442983,-47.910354
589,37.46308,-1.168298
590,37.472249,-30.182588
591,37.531146,-43.678984
592,37.643805,-44.594805
593,37.669592,-42.099334
594,37.758824,-35.084434
595,37.785847,-41.970745
596,37.788492,-42.20614
597,37.816176,-41.980027
598,37.842503,-34.391707
599,37.847599,-44.485245
600,37.905069,-43.670248
601,37.908,-35.250156
602,37.933914,-34.474607
